Data set,All Authors affiliated with Dartmouth College,,,,,,,,,,
Entity,Dartmouth College,,,,,,,,,,
Year range,2013 to >2023,,,,,,,,,,
Types of publications included,all publication types,,,,,,,,,,
Self-citations,included,,,,,,,,,,
,,,,,,,,,,,
Data source,Scopus,,,,,,,,,,
Date last updated,12-Jun-24,,,,,,,,,,
,,,,,,,,,,,
Name,Scholarly Output,Most recent publication,Citations,Citations per Publication,Field-Weighted Citation Impact,h-index,Output in Top 10% Citation Percentiles (field-weighted),Oldest publication (since 1996),Scopus author ID,Scopus author profile,Primary author affiliation
"Virginia, Ross A.",55,2024,1362,24.8,1.32,49,31,1996,7003676672,https://www.scopus.com/authid/detail.url?authorId=7003676672,Dartmouth College
"Morden, Nancy E.",55,2024,2724,49.5,3.79,30,26,2007,8650306500,https://www.scopus.com/authid/detail.url?authorId=8650306500,United Healthcare
"Fellows, Abigail M.",54,2024,687,12.7,0.99,16,4,2005,9939328400,https://www.scopus.com/authid/detail.url?authorId=9939328400,Dartmouth College
"Barry, E. L.",54,2024,1415,26.2,1.52,30,16,1996,7006302282,https://www.scopus.com/authid/detail.url?authorId=7006302282,Dartmouth College
"Madan, Juliette C.",54,2024,780,14.4,2.3,25,13,2016,24436607000,https://www.scopus.com/authid/detail.url?authorId=24436607000,Unknown affiliation
"Fossum, Eric R.",54,2024,995,18.4,1.31,29,10,2011,7005571714,https://www.scopus.com/authid/detail.url?authorId=7005571714,Dartmouth College
"Barr, Paul James",54,2024,2662,49.3,2.33,24,15,2013,37070370000,https://www.scopus.com/authid/detail.url?authorId=37070370000,Dartmouth College
"Wang, Xiaoxin",54,2024,476,8.8,0.98,15,5,2010,36769479000,https://www.scopus.com/authid/detail.url?authorId=36769479000,Dartmouth College
"Elizalde, Sergi",54,2024,552,10.2,0.9,16,6,2006,6507360243,https://www.scopus.com/authid/detail.url?authorId=6507360243,Unknown affiliation
"Noelle, Randolph J.",54,2023,3418,63.3,2.24,81,65,1996,7005905661,https://www.scopus.com/authid/detail.url?authorId=7005905661,Dartmouth College
"Torresani, Lorenzo",53,2023,9924,187.2,6.67,41,35,2009,6506606617,https://www.scopus.com/authid/detail.url?authorId=6506606617,Unknown affiliation
"Pohl, Heiko",53,2024,1047,19.8,2.15,33,12,2005,7102592340,https://www.scopus.com/authid/detail.url?authorId=7102592340,Department of Veterans Affairs
"Zeitler, Emily P.",53,2024,261,4.9,0.89,19,5,2019,55841336000,https://www.scopus.com/authid/detail.url?authorId=55841336000,Dartmouth College
"Cervinski, Mark A.",53,2023,578,10.9,1.07,20,9,2010,9843684900,https://www.scopus.com/authid/detail.url?authorId=9843684900,Dartmouth College
"Green, Alan I.",53,2022,1009,19,0.93,46,20,2003,56680142600,https://www.scopus.com/authid/detail.url?authorId=56680142600,Dartmouth College
"Hampton, Thomas H.",53,2024,1619,30.5,1.74,29,15,2007,22937807800,https://www.scopus.com/authid/detail.url?authorId=22937807800,Dartmouth College
"Cottingham, Kathryn L.",53,2024,1725,32.5,2.14,41,22,1998,57207605233,https://www.scopus.com/authid/detail.url?authorId=57207605233,Unknown affiliation
"Bernat, James L.",52,2024,765,14.7,1.8,13,11,2010,57201969083,https://www.scopus.com/authid/detail.url?authorId=57201969083,Dartmouth College
"Cox, Michael E.",52,2023,1725,33.2,2.13,30,18,2012,55510939100,https://www.scopus.com/authid/detail.url?authorId=55510939100,Dartmouth College
"Staiger, Douglas O.",52,2024,1869,35.9,3.17,52,56,1999,7005191328,https://www.scopus.com/authid/detail.url?authorId=7005191328,Dartmouth College
"Fu, Feng",52,2024,771,14.8,1.19,41,8,2016,55603989700,https://www.scopus.com/authid/detail.url?authorId=55603989700,Dartmouth College
"Osterberg, Erich C.",52,2024,1042,20,1.18,25,6,2007,13403894100,https://www.scopus.com/authid/detail.url?authorId=13403894100,Unknown affiliation
"Schwartz, Lisa M.",51,2022,2135,41.9,4.07,56,46,1999,7402459534,https://www.scopus.com/authid/detail.url?authorId=7402459534,Dartmouth College
"Wira, Charles R.",51,2023,1411,27.7,1.04,55,18,1996,7005221032,https://www.scopus.com/authid/detail.url?authorId=7005221032,Dartmouth College
"Hill, Jane Emily",51,2023,1434,28.1,1.3,32,7,2014,24463497500,https://www.scopus.com/authid/detail.url?authorId=24463497500,University of British Columbia
"Jarosz, Wojciech",50,2024,910,18.2,1.25,33,7,2015,23987588500,https://www.scopus.com/authid/detail.url?authorId=23987588500,Unknown affiliation
"Kanick, Stephen Chad Had",50,2024,1004,20.1,1.21,27,8,2012,8407735000,https://www.scopus.com/authid/detail.url?authorId=8407735000,Dartmouth College
